GazzettaMezzo,La Gazzetta del Mezzogiorno (IT),IndCat,Independent Catholic News (UK),LausitzerR,Lausitzer Rundschau (DE)
GazzettaS,Gazzetta del Sud (IT),INDd,Independent Media Center (DE),Le Courrier,Le Courrier (CH)
Gazzettino,Il Gazzettino (IT),Independent,The Independent (GB),Le Figaro,Le Figaro (FR)
GDS,Giornale di Sicilia (IT),IndependentNG,Independent Nigeria (NG),Le Matin,Le Matin (MA)
GdV,Girodivite (IT),INDf,Independent Media Center (FR),Le MatinDZ,Le Matin DZ (DZ)
Geo,Geo.tv (PK),INDgb,Independent Media Center (GB),Le Monde,Le Monde (FR)
GermanGovernment,Bundesregierung (DE),INDi,Independent Media Center (IT),Le Nouveau Quotidien,Le Nouveau Quotidien (FR)
GFP,German-Foreign-Policy (DE),INDie,Independent (IE),Le Soir,Le Soir (BE)
GHM,Greek Helsinki Monitor (GR),INDm,Independent Media Center-Marseille (FR),Le Soleil,Le Soleil (SN)
Giornale,Il Giornale (IT),Indymedia,Independent Media Center,Le Temps,Le Temps (CH)
GiovaniE,Giovani E Missione (IT),INexile,Inexile (GB),Le360,Le360 (MA)
GiulianoNewsChronicle,Giuliano Chronicle (IT),INF,Infinito Edizioni (IT),LEAP,Ligali (GB)
Globedia,Globedia (ES),info,L'Info (FR),LeCourrierdesBalkans,Le Courrier des Balkans (FR)
GloboAU,Il Globo (AU),InfoMigrants,Info Migrants Europe,Leedstoday,Leeds Today (GB)
GloDP,Global Detention Project (CH),Infomob,Infomobile (GR),LeMur,Le Mur (FR)
GLOPRO,Global Project (IT),Informe Raxen,Bulletin of Movimiento contra la Intolerancia (ES),LePhare,Le Phare Dunkerquois (FR)
GP,Global Post (US),inq7,Inquirer 7 (US),Les Temps d'Algerie,Les Temps d'Algerie (DZ)
Grand Paris,Grand Paris (FR),Inquest,INQUEST – United Campaigns for Justice (GB),LESP,L'Espresso (IT)
GRAPPE,Groupe de Réflexion et d'Action Pour une Politique Ecologique (BE),Interaksyon,Interaksyon (PH),Lesvosnews,Lesvos News (GR)
GreekReporter,Greek Reporter (GR),IntHeraldTribune,International Herald Tribune (FR),LibCoastG,Libyan Coast Guard (LY)
GroeneAms,De Groene Amsterdammer (NL),IOL,Independent Online (ZA),Libelille,Libelille (FR)
Libération,Libération (FR),NationalCA,National Post (CD),PoliceGenève,Police Cantonale Genève (CH)
LiberationMaroc,Libération (MA),NationPK,The Nation (PK),PolicyReview,Policy Review (US)
Liberazione,Liberazione (IT),Nätverket mot rasism,Nätverket Mot Rasism (SE),Politics UK,Politics UK (GB)
Libero,Libero News (IT),NBC,National Broadcasting Company (US),PORTS,Ports Muth Today (GB)
Libertaddigital,Libertad Digital (ES),NBF,Nigerian Best Forum (NG),PR,Peace Reporter (IT)
LibertareA,Libertäre Aktion Winterthur (CH),NBK,Nederland Bekent Kleur (NL),pr,Prison Radio (US)
LibOb,The Libya Observer (LY),NCADC,National Coalition of Anti-Deportation Campaigns (GB),Pravda,Pravda (RU)
Libyan Express,Libyan Express (LY),NCAs,News Central Asia (TM),PrensaGrafica,La Prensa Grafica (SV)
LIDU,Lega Italiana dei Diritti dell'Uomo (IT),NCRM,National Civil Rights Movement (GB),PrensaLat,Prensa Latina (CU)
Liga für Mr.,Internationale Liga für Menschenrechte e. V. (DE),ND,Neues Deutschland (DE),PrensaLibre,Prensa Libre (GT)
LocalDE,The Local (DE),NDTV,New Delhi Television Limited (IN),PressAlert,Press Alert (RO)
LocalES,The Local (ES),Nederlands Dagblad,Nederlands Dagblad (NL),Presse,Die Presse (AT)
LocalFR,The Local (FR),NeosKos,Neos Kosmos (AU),Pressesp. Rassis.,Pressespiegel Rassismus (CH)
LocalIT,The Local (IT),Nerja,Nerja News (ES),PresseTV,Presse TV (IR)
LOP,La Opinion Coruna (ES),NeueVorarlbergerTageszeit,Neue Vorarlberger Tageszeitung (AT),PRI,Public Radio International (US)
LosInvisiblesDeKolda,"Los Invisibles de Kolda, Jose' Naranjom, Ed. Peninsula, 2009 (ES)",NewArab,The New Arab Outlet (GB),PRIME,Participating Refugees in Multicultural Europe (NL)
LPC,La Presse Canadienne (CA),News24,News24 (ZA),PrivateSource,Information received from private individual/researcher
LR,La Repubblica (IT),Newsaust,News from Australia (AU),PRO,PRO Radio (IT)
LRB,La Repubblica Bari (IT),NewsD,NewsDesk (SE),Proactiva,Proactiva Open Arms (ES)
LRBrand,Landesregierung Brandenburg (DE),Newsit,NEWSIT (GR),ProAsyl,Pro Asyl – Bundesweite AG für Flüchtlinge Förderverein PRO ASYL e. V. (DE)
LRM,La Repubblica Metropoli (IT),Newsweek,Newsweek (US),Proto,Protothema (GR)
LRP,La Repubblica Palermo (IT),NI,Nigeria Independent (NG),Provincia,La Provincia (ES)
LS,La Sicilia (IT),Nice,Nice-Matin (FR),Provincias,Las Provincias (ES)
LSW,LaSiciliaWeb (IT),NigerianVoice,The Nigerian Voice (NI),PUB,Público (PT)
LV,La Vanguardia (ES),NigeriaToday,Nigeria Today (NG),Publico,Público (ES)
MAC,Monsters and Critics (US),NMNH,Social Impact – Die Agentur für soziale Innovationen (AT),Punch,Punch Newspapers (NI)
MadD,Madrid Digital (ES),No Pasaran,No Pasaran/Reflexes (FR),QNE,Quinordest (IT)
MAG,Magenta (NL),No-Deportations,No-Deportations (GB),Querblick,National Association of Young People in Care (GB)
MailOnline,Daily Mail Online (GB),NOB,No Border Center,quibla,Quibla.net (FR)
MainPost,Main Post (DE),NoBordersNott,No Borders Nottingham (GB),QUOTI,Le Quotidien D'Oran (DZ)
Malango,Malango (FR),NODO50,Contrainformación en Red (ES),Quotidiano,Quotidiano (IT)
Malmoe,Malmoe (AT),NoHuman,No Human is illegal (IR),Qz,Quartz (US)
Malta Independent,The Malta Independent (MT),Nopoliceraids,No Police Raids (NL),Radio Bayern 5,Bayerischer Rundfunk (DE)
MaltaStar,Malta Star (MT),NordLittoral,Nord Littoral (FR),RadioAlg,Radio Algérienne (DZ)
MaltaToday,Malta Today (MT),NOS,Nederlandse Omroep Stichting (NL),RadioErgo,Radio Ergo (SO)
Manchester,Manchester Evening News (GB),Nouvel Obs,Nouvel Observateur (FR),RAI,"RAI, national broadcasting (IT)"
Mareeg,Mareeg (SO),Novinite,Novinite (BG),Rawstory,The Raw Story (US)
MAS,Migrants At Sea (US),NR,No Racism (AT),Raz,La Razon (ES)
Matteo,Matteo – Kirche und Asyl e.V (DE),NRC,NRC-next (NL),RCItaly,"Croce Rossa Italiana, Italian Red Cross (IT)"
MB,MoroccoBoard.com (MA),NRK,Norsk rikskringkasting (NRK) (NO),RCLibya,Lybian Red Crescent (LY)
MC,Marina Civil (ES),NRT,Nalia Radio and Television (KRG),Réf,Réflexion (DZ)
MDR,Mitteldeutscher Rundfunk (DE),NT,Nigerian Tribune (NG),RefDeeply,Refugees Deeply (US)
Mediapart,Mediapartpaper (FR),Nt7,Newstime on ProSieben (DE),Rel,ReliefWeb.int
MEE,Middle East Eye (Middle East),NU,Nu.nlpaper (NL),RepublicR,Republic Report New York (US)
MEM,Middle East Monitor (GB),NW,Neue Westfälische (DE),ResearchTR,Center for Policy and Research on Turkey (GB)
MENAFN,Middle East North Africa Financial Network,Ny Tid,Ny Tid (NO),RESF,Réseau Education Sans Frontières (FR)
MEOnline,Middle East Online (GB),NYboat,New York Boat Show (US),Respons,ReSpons Evenementen Monitor (NL)
Messogiorno,Corriere del Messogiorno (IT),NYtimes,The New York Times (US),Reuters/Reu.,Reuters News Agency (GB)
MET,Metro (IT),NZZ,Neue Zürcher Zeitung (CH),RF,Radio France (FR)
Metro,Metro (GB),Obs.france24,Les Observateurs/France 24 (FR),RFI,Radio France Internationale (FR)
METROF,Metro (FR),ObsAlgerie,ObservAlgerie (DZ),Rheinpfalz,Die Rheinpfalz (DE)
Metropolitan Police,Metropolitan Police (GB),Observer Gazette,The Observer Gazette,Rijnmond,Rijnmond (NL)
MGHR,Mahatma Gandhi Human Rights Organisation (HU),OBV,Operation Black Vote (GB),RIS,Ristretti (IT)
Miami Herald,The Miami Herald (US),OCPM,Obra Católica Portuguesa de Migrações (PT),RivRadio,Riviera Radio (MA)
Mic,Mic (US),ODILI,Odili.net (NG),Rizo,Rizospastis (GR)
Middleton Guardian,Middleton Guardian (GB),ODP,Observatorio de Prensa (ES),RNW,Radio Netherlands Worldwide (NL)
